                   x                   y                   u                   w                 rho                   T                   p                  mu                 mut                  yp                   k                 eps                  v2                  om                nuSA              alphat                 Prt                  kt                epst                 Pkt               qwall                ttau               twall                tauw                utau               yplus               tplus               uplus               resKt               resEt
   0.0000000000E+000   0.1886422082E+000   0.0000000000E+000   0.1666546751E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7359840529E-001   0.0000000000E+000   0.8525990504E+000   0.8933469810E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7358804648E-001   0.5000703838E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2735521917E+003                 NaN   0.2011699884E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1986158105E+000   0.0000000000E+000   0.1664015808E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7394191177E-001   0.0000000000E+000   0.8710050879E+000   0.9278743773E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7393155289E-001   0.5000700572E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2701895559E+003                 NaN   0.2008644766E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2085973285E+000   0.0000000000E+000   0.1661364528E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7430085392E-001   0.0000000000E+000   0.8901131482E+000   0.9642143268E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7429049497E-001   0.5000697193E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2668242513E+003                 NaN   0.2005444387E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2185836499E+000   0.0000000000E+000   0.1658595104E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7467329208E-001   0.0000000000E+000   0.9098863143E+000   0.1002360138E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7466293304E-001   0.5000693720E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2634573272E+003                 NaN   0.2002101397E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2285716562E+000   0.0000000000E+000   0.1655709851E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7505713658E-001   0.0000000000E+000   0.9302870342E+000   0.1042304227E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7504677747E-001   0.5000690177E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2600898350E+003                 NaN   0.1998618589E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2385582272E+000   0.0000000000E+000   0.1652711187E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7545018410E-001   0.0000000000E+000   0.9512774135E+000   0.1084038438E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7543982491E-001   0.5000686586E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2567228268E+003                 NaN   0.1994998881E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2485402441E+000   0.0000000000E+000   0.1649601605E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7585015237E-001   0.0000000000E+000   0.9728194849E+000   0.1127554363E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7583979310E-001   0.5000682971E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2533573540E+003                 NaN   0.1991245283E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2585145939E+000   0.0000000000E+000   0.1646383657E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7625471266E-001   0.0000000000E+000   0.9948754527E+000   0.1172843644E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7624435331E-001   0.5000679352E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2499944661E+003                 NaN   0.1987360877E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2684781734E+000   0.0000000000E+000   0.1643059938E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7666151931E-001   0.0000000000E+000   0.1017407909E+001   0.1219898258E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7665115988E-001   0.5000675752E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2466352095E+003                 NaN   0.1983348793E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2784278925E+000   0.0000000000E+000   0.1639633064E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7706823620E-001   0.0000000000E+000   0.1040380020E+001   0.1268710778E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7705787669E-001   0.5000672190E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2432806260E+003                 NaN   0.1979212189E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2883606785E+000   0.0000000000E+000   0.1636105659E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7747255987E-001   0.0000000000E+000   0.1063755691E+001   0.1319274617E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7746220028E-001   0.5000668687E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2399317516E+003                 NaN   0.1974954236E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.2982734796E+000   0.0000000000E+000   0.1632480347E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7787223941E-001   0.0000000000E+000   0.1087499692E+001   0.1371584234E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7786187974E-001   0.5000665259E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2365896151E+003                 NaN   0.1970578097E+002   0.0000000000E+000   0.0000000000E+000
