                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.907173915325E+00  0.000000000000E+00  0.138401061021E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.329214772236E-01  0.270959638589E-01  0.125214163545E+00  0.000000000000E+00  0.000000000000E+00
  0.912434291527E+00  0.000000000000E+00  0.136744563745E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.313774367241E-01  0.251356920285E-01  0.126240707299E+00  0.000000000000E+00  0.000000000000E+00
  0.917472901989E+00  0.000000000000E+00  0.135033228523E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.298665191794E-01  0.231892317430E-01  0.127252919386E+00  0.000000000000E+00  0.000000000000E+00
  0.922297573538E+00  0.000000000000E+00  0.133258085655E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.283896146669E-01  0.212613983221E-01  0.128249040883E+00  0.000000000000E+00  0.000000000000E+00
  0.926915994616E+00  0.000000000000E+00  0.131408413505E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.269474363417E-01  0.193584250425E-01  0.129225835162E+00  0.000000000000E+00  0.000000000000E+00
  0.931335703976E+00  0.000000000000E+00  0.129471394150E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.255405243012E-01  0.174881749726E-01  0.130178166850E+00  0.000000000000E+00  0.000000000000E+00
  0.935564081039E+00  0.000000000000E+00  0.127431716712E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.241692518994E-01  0.156602755359E-01  0.131098519222E+00  0.000000000000E+00  0.000000000000E+00
  0.939608337794E+00  0.000000000000E+00  0.125271136454E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.228338353761E-01  0.138861237731E-01  0.131976478689E+00  0.000000000000E+00  0.000000000000E+00
  0.943475512122E+00  0.000000000000E+00  0.122968013438E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.215343478671E-01  0.121787068853E-01  0.132798251941E+00  0.000000000000E+00  0.000000000000E+00
  0.947172462438E+00  0.000000000000E+00  0.120496882018E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.202707390390E-01  0.105521903871E-01  0.133546343857E+00  0.000000000000E+00  0.000000000000E+00
