                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.102442618306E+01  0.000000000000E+00  0.224210210791E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116765757554E+01  0.113038264924E+01  0.778438383693E+00  0.000000000000E+00  0.000000000000E+00  0.176905949578E+00  0.506205249714E-02  0.000000000000E+00  0.000000000000E+00
  0.107316681143E+01  0.000000000000E+00  0.224044930303E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.118199084417E+01  0.116506823330E+01  0.787993896111E+00  0.000000000000E+00  0.000000000000E+00  0.175878912159E+00  0.457925630002E-01  0.000000000000E+00  0.000000000000E+00
  0.112157426183E+01  0.000000000000E+00  0.223713949274E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.121060826155E+01  0.123524471269E+01  0.803167946631E+00  0.000000000000E+00  0.000000000000E+00  0.173175124241E+00  0.128844956158E+00  0.000000000000E+00  0.000000000000E+00
  0.116943312156E+01  0.000000000000E+00  0.223213668536E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.125364031312E+01  0.134308962215E+01  0.817310577152E+00  0.000000000000E+00  0.000000000000E+00  0.167835508633E+00  0.257485306172E+00  0.000000000000E+00  0.000000000000E+00
  0.121653776804E+01  0.000000000000E+00  0.222536495491E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.131144774685E+01  0.149235637964E+01  0.831674962432E+00  0.000000000000E+00  0.000000000000E+00  0.160790749603E+00  0.437325910468E+00  0.000000000000E+00  0.000000000000E+00
  0.126269576509E+01  0.000000000000E+00  0.221674072504E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.138430861019E+01  0.168771055753E+01  0.847009798739E+00  0.000000000000E+00  0.000000000000E+00  0.152845459664E+00  0.674228257524E+00  0.000000000000E+00  0.000000000000E+00
  0.130773077959E+01  0.000000000000E+00  0.220619442057E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.147221081068E+01  0.193424693673E+01  0.863877444062E+00  0.000000000000E+00  0.000000000000E+00  0.144657013359E+00  0.973388772345E+00  0.000000000000E+00  0.000000000000E+00
  0.135148493430E+01  0.000000000000E+00  0.219368959743E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.157469437313E+01  0.223700565165E+01  0.882606598637E+00  0.000000000000E+00  0.000000000000E+00  0.136686528500E+00  0.133844566577E+01  0.000000000000E+00  0.000000000000E+00
  0.139382054539E+01  0.000000000000E+00  0.217923524881E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.169079014476E+01  0.260060412246E+01  0.903246685127E+00  0.000000000000E+00  0.000000000000E+00  0.129196640445E+00  0.177112598692E+01  0.000000000000E+00  0.000000000000E+00
  0.143462122652E+01  0.000000000000E+00  0.216288879115E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.181907243707E+01  0.302908725359E+01  0.925551012235E+00  0.000000000000E+00  0.000000000000E+00  0.122283526522E+00  0.227152463057E+01  0.000000000000E+00  0.000000000000E+00
  0.147379237277E+01  0.000000000000E+00  0.214474981942E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.195780669714E+01  0.352604125680E+01  0.949002014233E+00  0.000000000000E+00  0.000000000000E+00  0.115925484307E+00  0.283891333833E+01  0.000000000000E+00  0.000000000000E+00
  0.151126106509E+01  0.000000000000E+00  0.212494733190E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.210514425829E+01  0.409493320997E+01  0.972874185868E+00  0.000000000000E+00  0.000000000000E+00  0.110032518114E+00  0.347280678912E+01  0.000000000000E+00  0.000000000000E+00
  0.154697545765E+01  0.000000000000E+00  0.210362439534E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.225930978785E+01  0.473957776710E+01  0.996317607780E+00  0.000000000000E+00  0.000000000000E+00  0.104487234428E+00  0.417398321249E+01  0.000000000000E+00  0.000000000000E+00
  0.158090372607E+01  0.000000000000E+00  0.208092381327E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.241874237112E+01  0.546462229039E+01  0.101844210327E+01  0.000000000000E+00  0.000000000000E+00  0.991733714487E-01  0.494526110029E+01  0.000000000000E+00  0.000000000000E+00
  0.161303266331E+01  0.000000000000E+00  0.205697693300E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258217535827E+01  0.627597399083E+01  0.103838731551E+01  0.000000000000E+00  0.000000000000E+00  0.939925042620E-01  0.579198509887E+01  0.000000000000E+00  0.000000000000E+00
  0.164336601302E+01  0.000000000000E+00  0.203189620671E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.274866012173E+01  0.718113943562E+01  0.105537212338E+01  0.000000000000E+00  0.000000000000E+00  0.888715065408E-01  0.672228851994E+01  0.000000000000E+00  0.000000000000E+00
  0.167192262749E+01  0.000000000000E+00  0.200577107945E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.291754902108E+01  0.818948419519E+01  0.106872352873E+01  0.000000000000E+00  0.000000000000E+00  0.837637730983E-01  0.774724609282E+01  0.000000000000E+00  0.000000000000E+00
  0.169873453120E+01  0.000000000000E+00  0.197866631484E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.308845428389E+01  0.931243952346E+01  0.107788884130E+01  0.000000000000E+00  0.000000000000E+00  0.786467819698E-01  0.888102446144E+01  0.000000000000E+00  0.000000000000E+00
  0.172384496115E+01  0.000000000000E+00  0.195062182379E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.326119606960E+01  0.105636863785E+02  0.108243606004E+01  0.000000000000E+00  0.000000000000E+00  0.735178788621E-01  0.101411098871E+02  0.000000000000E+00  0.000000000000E+00
  0.174730644413E+01  0.000000000000E+00  0.192165321968E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.343574812886E+01  0.119593413082E+02  0.108204689735E+01  0.000000000000E+00  0.000000000000E+00  0.683895110175E-01  0.115486648341E+02  0.000000000000E+00  0.000000000000E+00
  0.176917895900E+01  0.000000000000E+00  0.189175253353E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.361218511060E+01  0.135181590803E+02  0.107650586934E+01  0.000000000000E+00  0.000000000000E+00  0.632846334929E-01  0.131290465761E+02  0.000000000000E+00  0.000000000000E+00
  0.178952822036E+01  0.000000000000E+00  0.186088870591E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.379063231906E+01  0.152617559857E+02  0.106568784557E+01  0.000000000000E+00  0.000000000000E+00  0.582326656571E-01  0.149125115845E+02  0.000000000000E+00  0.000000000000E+00
  0.180842410866E+01  0.000000000000E+00  0.182900760446E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.397121648193E+01  0.172148454875E+02  0.104954566063E+01  0.000000000000E+00  0.000000000000E+00  0.532661575455E-01  0.169351248761E+02  0.000000000000E+00  0.000000000000E+00
  0.182593926218E+01  0.000000000000E+00  0.179603139909E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.415401449075E+01  0.194054624256E+02  0.102809890020E+01  0.000000000000E+00  0.000000000000E+00  0.484181973105E-01  0.192398870050E+02  0.000000000000E+00  0.000000000000E+00
  0.184214783785E+01  0.000000000000E+00  0.176185717479E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.433899571371E+01  0.218651296527E+02  0.100142478636E+01  0.000000000000E+00  0.000000000000E+00  0.437205220984E-01  0.218780727953E+02  0.000000000000E+00  0.000000000000E+00
  0.185712444081E+01  0.000000000000E+00  0.172635469488E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.452595200185E+01  0.246288860338E+02  0.969652213322E+00  0.000000000000E+00  0.000000000000E+00  0.392022643269E-01  0.249107266380E+02  0.000000000000E+00  0.000000000000E+00
  0.187094321755E+01  0.000000000000E+00  0.168936327415E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.471440762590E+01  0.277350383502E+02  0.932960505251E+00  0.000000000000E+00  0.000000000000E+00  0.348892607694E-01  0.284101414872E+02  0.000000000000E+00  0.000000000000E+00
  0.188367710350E+01  0.000000000000E+00  0.165068783317E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.490349892285E+01  0.312244085202E+02  0.891585596271E+00  0.000000000000E+00  0.000000000000E+00  0.308038668754E-01  0.324608826689E+02  0.000000000000E+00  0.000000000000E+00
  0.189539721294E+01  0.000000000000E+00  0.161009448986E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.509181053815E+01  0.351387030641E+02  0.845838531506E+00  0.000000000000E+00  0.000000000000E+00  0.269652530019E-01  0.371605082705E+02  0.000000000000E+00  0.000000000000E+00
  0.190617235807E+01  0.000000000000E+00  0.156730542171E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.527715354272E+01  0.395174753842E+02  0.796087870237E+00  0.000000000000E+00  0.000000000000E+00  0.233884953240E-01  0.426185070326E+02  0.000000000000E+00  0.000000000000E+00
  0.191606868264E+01  0.000000000000E+00  0.152199234345E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.545627036398E+01  0.443929617631E+02  0.742748295213E+00  0.000000000000E+00  0.000000000000E+00  0.200841929908E-01  0.489529705316E+02  0.000000000000E+00  0.000000000000E+00
  0.192514939610E+01  0.000000000000E+00  0.147376871427E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.562444265382E+01  0.497816485756E+02  0.686274565107E+00  0.000000000000E+00  0.000000000000E+00  0.170584403767E-01  0.562821781024E+02  0.000000000000E+00  0.000000000000E+00
  0.193347459419E+01  0.000000000000E+00  0.142218099992E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.577497819178E+01  0.556710015598E+02  0.627160707594E+00  0.000000000000E+00  0.000000000000E+00  0.143130310005E-01  0.647070300500E+02  0.000000000000E+00  0.000000000000E+00
  0.194110115286E+01  0.000000000000E+00  0.136669975713E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.589856156434E+01  0.619994032028E+02  0.565944955428E+00  0.000000000000E+00  0.000000000000E+00  0.118458037940E-01  0.742776759099E+02  0.000000000000E+00  0.000000000000E+00
  0.194808268346E+01  0.000000000000E+00  0.130671214426E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.598248268102E+01  0.686273474663E+02  0.503221429683E+00  0.000000000000E+00  0.000000000000E+00  0.965106862046E-02  0.849340475194E+02  0.000000000000E+00  0.000000000000E+00
  0.195446953812E+01  0.000000000000E+00  0.124151896444E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.600983019123E+01  0.752991678024E+02  0.439659919655E+00  0.000000000000E+00  0.000000000000E+00  0.772007078479E-02  0.964058610463E+02  0.000000000000E+00  0.000000000000E+00
  0.196030885562E+01  0.000000000000E+00  0.117034193114E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.595889328491E+01  0.815987556342E+02  0.376035046876E+00  0.000000000000E+00  0.000000000000E+00  0.604147762422E-02  0.108055652760E+03  0.000000000000E+00  0.000000000000E+00
  0.196564463917E+01  0.000000000000E+00  0.109235110385E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.580331231859E+01  0.869128661610E+02  0.313265005548E+00  0.000000000000E+00  0.000000000000E+00  0.460189814305E-02  0.118656630867E+03  0.000000000000E+00  0.000000000000E+00
  0.197051785861E+01  0.000000000000E+00  0.100672909331E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.551400535322E+01  0.904354818763E+02  0.252456688088E+00  0.000000000000E+00  0.000000000000E+00  0.338648412710E-02  0.126135339997E+03  0.000000000000E+00  0.000000000000E+00
  0.197496657068E+01  0.000000000000E+00  0.912798258276E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.506450920850E+01  0.912770830422E+02  0.194946327899E+00  0.000000000000E+00  0.000000000000E+00  0.237971687515E-02  0.127417133494E+03  0.000000000000E+00  0.000000000000E+00
