                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.737304234913E+00  0.000000000000E+00  0.192070620777E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116732174417E+01  0.000000000000E+00  0.000000000000E+00  0.946436879740E+01  0.000000000000E+00  0.123338574415E+00  0.535086055153E+00  0.999999878061E+00  0.999999999896E+00
  0.783462231963E+00  0.000000000000E+00  0.192938599686E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110691650350E+01  0.000000000000E+00  0.494065645841-323  0.876636127165E+01  0.000000000000E+00  0.126268639831E+00  0.355558437438E+00  0.999999897415E+00  0.999999999828E+00
  0.830566878442E+00  0.000000000000E+00  0.193637177421E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.105679035773E+01  0.000000000000E+00  0.494065645841-323  0.820753764740E+01  0.000000000000E+00  0.128758516042E+00  0.213708710815E+00  0.999999715241E+00  0.999999999648E+00
  0.878425738174E+00  0.000000000000E+00  0.194163318971E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.101812153814E+01  0.000000000000E+00  0.000000000000E+00  0.778813759128E+01  0.000000000000E+00  0.130727216356E+00  0.108467884606E+00  0.999998912336E+00  0.999999999066E+00
  0.926833188570E+00  0.000000000000E+00  0.194515023836E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.991824322198E+00  0.000000000000E+00  0.000000000000E+00  0.750840789324E+01  0.000000000000E+00  0.132095158633E+00  0.389046731909E-01  0.999994400136E+00  0.999999996716E+00
  0.975573816941E+00  0.000000000000E+00  0.194691134047E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.978519379771E+00  0.000000000000E+00  0.000000000000E+00  0.736850959487E+01  0.000000000000E+00  0.132797464208E+00  0.431447226349E-02  0.999964192801E+00  0.999999984909E+00
  0.102442618306E+01  0.000000000000E+00  0.194691134051E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.978519379387E+00  0.000000000000E+00  0.000000000000E+00  0.736850959281E+01  0.000000000000E+00  0.132797464193E+00  0.431447153955E-02  0.999964192801E+00  0.999999984909E+00
  0.107316681143E+01  0.000000000000E+00  0.194515023847E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.991824321053E+00  0.000000000000E+00  0.345845952089-322  0.750840788712E+01  0.000000000000E+00  0.132095158588E+00  0.389046710227E-01  0.999994400136E+00  0.999999996716E+00
  0.112157426183E+01  0.000000000000E+00  0.194163318989E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.101812153625E+01  0.000000000000E+00  0.000000000000E+00  0.778813758125E+01  0.000000000000E+00  0.130727216283E+00  0.108467881005E+00  0.999998912336E+00  0.999999999066E+00
  0.116943312156E+01  0.000000000000E+00  0.193637177447E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.105679035516E+01  0.000000000000E+00  0.000000000000E+00  0.820753763372E+01  0.000000000000E+00  0.128758515942E+00  0.213708705797E+00  0.999999715242E+00  0.999999999648E+00
  0.121653776804E+01  0.000000000000E+00  0.192938599718E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110691650029E+01  0.000000000000E+00  0.695328832306-309  0.876636125464E+01  0.000000000000E+00  0.126268639709E+00  0.355558431026E+00  0.999999897415E+00  0.999999999828E+00
  0.126269576509E+01  0.000000000000E+00  0.192070620816E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116732174037E+01  0.000000000000E+00  0.000000000000E+00  0.946436877745E+01  0.000000000000E+00  0.123338574274E+00  0.535086047374E+00  0.999999878061E+00  0.999999999896E+00
  0.130773077959E+01  0.000000000000E+00  0.191037421392E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.123661192839E+01  0.000000000000E+00  0.000000000000E+00  0.103015557435E+02  0.000000000000E+00  0.120041280250E+00  0.753450370776E+00  0.999993026964E+00  0.999999999926E+00
  0.135148493430E+01  0.000000000000E+00  0.189844318471E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.131324130439E+01  0.000000000000E+00  0.000000000000E+00  0.112785291787E+02  0.000000000000E+00  0.116437285026E+00  0.101191044984E+01  0.999988435742E+00  0.999999999941E+00
  0.139382054539E+01  0.000000000000E+00  0.188497634180E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.139558611360E+01  0.000000000000E+00  0.790568273749-316  0.123970061141E+02  0.000000000000E+00  0.112574448516E+00  0.131189134525E+01  0.999997848597E+00  0.999999999950E+00
  0.143462122652E+01  0.000000000000E+00  0.187004469474E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.148201794255E+01  0.000000000000E+00  0.202369288537-319  0.136603592403E+02  0.000000000000E+00  0.108490408646E+00  0.165509099493E+01  0.999999959833E+00  0.999999999956E+00
  0.147379237277E+01  0.000000000000E+00  0.185372422710E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.157096871502E+01  0.000000000000E+00  0.689955213258-309  0.150741708395E+02  0.000000000000E+00  0.104215929762E+00  0.204361054453E+01  0.999999988833E+00  0.999999999961E+00
  0.151126106509E+01  0.000000000000E+00  0.183609290257E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.166098172634E+01  0.000000000000E+00  0.695328832303-309  0.166467796890E+02  0.000000000000E+00  0.997779614152E-01  0.248009315062E+01  0.999999990769E+00  0.999999999965E+00
  0.154697545765E+01  0.000000000000E+00  0.181722778066E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.175074584631E+01  0.000000000000E+00  0.695328832303-309  0.183897824868E+02  0.000000000000E+00  0.952020973317E-01  0.296786531279E+01  0.999999992459E+00  0.999999999970E+00
  0.158090372607E+01  0.000000000000E+00  0.179720243408E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.183911342589E+01  0.000000000000E+00  0.603192429377E+03  0.203185133746E+02  0.000000000000E+00  0.905141733859E-01  0.351107762271E+01  0.999999993905E+00  0.999999999974E+00
  0.161303266331E+01  0.000000000000E+00  0.177608475642E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.192510415489E+01  0.000000000000E+00  0.212199579146-313  0.224525324065E+02  0.000000000000E+00  0.857410708696E-01  0.411484831900E+01  0.999999995089E+00  0.999999999977E+00
  0.164336601302E+01  0.000000000000E+00  0.175393517290E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.200789800026E+01  0.000000000000E+00  0.593191752671E+03  0.248161642123E+02  0.000000000000E+00  0.809108934474E-01  0.478541576365E+01  0.999999996006E+00  0.999999999980E+00
  0.167192262749E+01  0.000000000000E+00  0.173080521646E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.208682047039E+01  0.000000000000E+00  0.587549728823E+03  0.274391363933E+02  0.000000000000E+00  0.760527029450E-01  0.553030776833E+01  0.999999996670E+00  0.999999999982E+00
  0.169873453120E+01  0.000000000000E+00  0.170673640112E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.216132305659E+01  0.000000000000E+00  0.689955172446-309  0.303573731509E+02  0.000000000000E+00  0.711959847556E-01  0.635853702209E+01  0.999999997106E+00  0.999999999984E+00
  0.172384496115E+01  0.000000000000E+00  0.168175930844E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.223096106919E+01  0.000000000000E+00  0.689955172446-309  0.336140068170E+02  0.000000000000E+00  0.663699838426E-01  0.728083292102E+01  0.999999997329E+00  0.999999999984E+00
  0.174730644413E+01  0.000000000000E+00  0.165589279710E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.229537039667E+01  0.000000000000E+00  0.689955173032-309  0.372606808681E+02  0.000000000000E+00  0.616030186239E-01  0.830992119076E+01  0.999999997333E+00  0.999999999984E+00
  0.176917895900E+01  0.000000000000E+00  0.162914324390E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.235424407612E+01  0.000000000000E+00  0.689955173032-309  0.413592350705E+02  0.000000000000E+00  0.569218481316E-01  0.946086395535E+01  0.999999997069E+00  0.999999999983E+00
  0.178952822036E+01  0.000000000000E+00  0.160150372408E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.240730901460E+01  0.000000000000E+00  0.553857669268E+03  0.459838892784E+02  0.000000000000E+00  0.523511402446E-01  0.107514743061E+02  0.999999996394E+00  0.999999999981E+00
  0.180842410866E+01  0.000000000000E+00  0.157295303748E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.245430274413E+01  0.000000000000E+00 -0.131969293313E+21  0.512240804531E+02  0.000000000000E+00  0.479130663746E-01  0.122028207035E+02  0.999999994963E+00  0.999999999977E+00
  0.182593926218E+01  0.000000000000E+00  0.154345448044E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.249494970221E+01  0.000000000000E+00  0.538162978699E+03  0.571881624733E+02  0.000000000000E+00  0.436270307957E-01  0.138398370589E+02  0.999999991917E+00  0.999999999968E+00
  0.184214783785E+01  0.000000000000E+00  0.151295425230E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.252893616795E+01  0.000000000000E+00  0.689955173010-309  0.640082573220E+02  0.000000000000E+00  0.395095304492E-01  0.156920527404E+02  0.999999984970E+00  0.999999999953E+00
  0.185712444081E+01  0.000000000000E+00  0.148137936464E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.255588260373E+01  0.000000000000E+00  0.494065645841-323  0.718466599122E+02  0.000000000000E+00  0.355741328978E-01  0.177944503372E+02  0.999999967471E+00  0.999999999921E+00
  0.187094321755E+01  0.000000000000E+00  0.144863489079E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.257531170105E+01  0.000000000000E+00  0.689955213656-309  0.809043633007E+02  0.000000000000E+00  0.318315554409E-01  0.201884424784E+02  0.999999918038E+00  0.999999999853E+00
