                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.218973025150E+00  0.000000000000E+00  0.100431677229E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.984674755758E+00  0.000000000000E+00  0.000000000000E+00  0.305768723230E+02  0.000000000000E+00  0.103881461331E+00  0.175124061720E+01  0.991193711628E+00  0.999996189539E+00  0.101169710946E+03  0.115423849628E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.228180497275E+00  0.000000000000E+00  0.100042861248E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.999106976884E+00  0.000000000000E+00  0.000000000000E+00  0.314823494961E+02  0.000000000000E+00  0.102372465317E+00  0.192818979937E+01  0.993155624548E+00  0.999997188036E+00  0.978550209811E+02  0.113747190340E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.237255118147E+00  0.000000000000E+00  0.996380611163E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.101380146310E+01  0.000000000000E+00  0.000000000000E+00  0.324498092278E+02  0.000000000000E+00  0.100781094809E+00  0.211579118895E+01  0.994691747005E+00  0.999997915563E+00  0.945881574669E+02  0.111979006062E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.246188657508E+00  0.000000000000E+00  0.992175611794E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.102871191117E+01  0.000000000000E+00  0.000000000000E+00  0.334822998696E+02  0.000000000000E+00  0.991098440915E-01  0.231448591855E+01  0.995888417035E+00  0.999998446965E+00  0.913720832972E+02  0.110122069783E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.254973485515E+00  0.000000000000E+00  0.987816499168E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.104379228904E+01  0.000000000000E+00  0.000000000000E+00  0.345831563230E+02  0.000000000000E+00  0.973616135171E-01  0.252475926163E+01  0.996816587540E+00  0.999998836236E+00  0.882095452144E+02  0.108179606692E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.263602589093E+00  0.000000000000E+00  0.983306165786E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.105899704500E+01  0.000000000000E+00  0.000000000000E+00  0.357560242684E+02  0.000000000000E+00  0.955396907208E-01  0.274714462389E+01  0.997533877542E+00  0.999999122336E+00  0.851030679265E+02  0.106155273883E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.272069583266E+00  0.000000000000E+00  0.978647479299E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.107428128622E+01  0.000000000000E+00  0.000000000000E+00  0.370048863085E+02  0.000000000000E+00  0.936477273579E-01  0.298222776730E+01  0.998086578137E+00  0.999999333392E+00  0.820549500241E+02  0.104053135381E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.280368717634E+00  0.000000000000E+00  0.973843251127E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.108960092721E+01  0.000000000000E+00  0.000000000000E+00  0.383340905766E+02  0.000000000000E+00  0.916897113723E-01  0.323065132082E+01  0.998511521276E+00  0.999999489726E+00  0.790672616518E+02  0.101877632604E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.288494878140E+00  0.000000000000E+00  0.968896206281E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.110491280902E+01  0.000000000000E+00  0.000000000000E+00  0.397483823601E+02  0.000000000000E+00  0.896699351318E-01  0.349311963991E+01  0.998837758877E+00  0.999999606045E+00  0.761418438695E+02  0.996335507698E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.296443584393E+00  0.000000000000E+00  0.963808954378E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.112017478968E+01  0.000000000000E+00  0.000000000000E+00  0.412529393069E+02  0.000000000000E+00  0.875929600213E-01  0.377040408469E+01  0.999088028913E+00  0.999999693005E+00  0.732803096187E+02  0.973259820826E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.304210982790E+00  0.000000000000E+00  0.958583961773E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.113534580688E+01  0.000000000000E+00  0.000000000000E+00  0.428534108178E+02  0.000000000000E+00  0.854635782488E-01  0.406334879371E+01  0.999280005692E+00  0.999999758344E+00  0.704840461956E+02  0.949602867038E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.311793835779E+00  0.000000000000E+00  0.953223524685E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.115038591378E+01  0.000000000000E+00  0.000000000000E+00  0.445559622755E+02  0.000000000000E+00  0.832867727010E-01  0.437287703805E+01  0.999427345022E+00  0.999999807692E+00  0.677542191197E+02  0.925420526233E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.319189507567E+00  0.000000000000E+00  0.947729743163E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116525628859E+01  0.000000000000E+00  0.000000000000E+00  0.463673248398E+02  0.000000000000E+00  0.810676757072E-01  0.469999824870E+01  0.999540543024E+00  0.999999845159E+00  0.650917772760E+02  0.900770555272E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.326395946660E+00  0.000000000000E+00  0.942104495707E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.117991921910E+01  0.000000000000E+00  0.000000000000E+00  0.482948516301E+02  0.000000000000E+00  0.788115275415E-01  0.504581581978E+01  0.999627631287E+00  0.999999873749E+00  0.624974592023E+02  0.875712196568E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.333411665586E+00  0.000000000000E+00  0.936349414322E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.119433806266E+01  0.000000000000E+00  0.000000000000E+00  0.503465812395E+02  0.000000000000E+00  0.765236354306E-01  0.541153580116E+01  0.999694732143E+00  0.999999895669E+00  0.599718003891E+02  0.850305804520E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.340235718177E+00  0.000000000000E+00  0.930465859767E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.120847718252E+01  0.000000000000E+00  0.000000000000E+00  0.525313096754E+02  0.000000000000E+00  0.742093337493E-01  0.579847660730E+01  0.999746497013E+00  0.999999912540E+00  0.575151414561E+02  0.824612494780E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.346867674805E+00  0.000000000000E+00  0.924454896715E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.122230186081E+01  0.000000000000E+00  0.000000000000E+00  0.548586720018E+02  0.000000000000E+00  0.718739459881E-01  0.620807988451E+01  0.999786448760E+00  0.999999925560E+00  0.551276370704E+02  0.798693817446E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.353307595907E+00  0.000000000000E+00  0.918317268538E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.123577818880E+01  0.000000000000E+00  0.000000000000E+00  0.573392351844E+02  0.000000000000E+00  0.695227489756E-01  0.664192269687E+01  0.999817246428E+00  0.999999935612E+00  0.528092654735E+02  0.772611450461E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
