                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.190644325217E+00  0.000000000000E+00  0.176230632353E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.147693816262E+01  0.458941501687E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.430458186153E-01  0.297968335418E+01  0.000000000000E+00  0.000000000000E+00  0.111368043471E+03  0.478286875909E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.200195316767E+00  0.000000000000E+00  0.175414039869E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.152824697296E+01  0.486962388565E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.428367059075E-01  0.329999834199E+01  0.000000000000E+00  0.000000000000E+00  0.107929686496E+03  0.475963403449E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.209641511043E+00  0.000000000000E+00  0.174562794100E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.158101747360E+01  0.516774497720E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.425783467840E-01  0.363824064012E+01  0.000000000000E+00  0.000000000000E+00  0.104529056540E+03  0.473092750298E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.218973025150E+00  0.000000000000E+00  0.173677817846E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.163513239057E+01  0.548437881386E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.422680758467E-01  0.399509713178E+01  0.000000000000E+00  0.000000000000E+00  0.101169711445E+03  0.469645302258E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.228180497275E+00  0.000000000000E+00  0.172759984321E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.169048069976E+01  0.582019037930E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.419038746010E-01  0.437137417895E+01  0.000000000000E+00  0.000000000000E+00  0.978550214635E+02  0.465598633918E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.237255118147E+00  0.000000000000E+00  0.171810109463E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.174695755620E+01  0.617591304465E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.414843695126E-01  0.476800165219E+01  0.000000000000E+00  0.000000000000E+00  0.945881579333E+02  0.460937487722E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.246188657508E+00  0.000000000000E+00  0.170828945669E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.180446401670E+01  0.655235218374E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.410088186403E-01  0.518603721797E+01  0.000000000000E+00  0.000000000000E+00  0.913720837477E+02  0.455653626479E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.254973485515E+00  0.000000000000E+00  0.169817176693E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.186290659177E+01  0.695038855332E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.404770888306E-01  0.562667111493E+01  0.000000000000E+00  0.000000000000E+00  0.882095456493E+02  0.449745581604E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.263602589093E+00  0.000000000000E+00  0.168775413460E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.192219665759E+01  0.737098150722E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.398896252643E-01  0.609123160236E+01  0.000000000000E+00  0.000000000000E+00  0.851030683461E+02  0.443218317233E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.272069583266E+00  0.000000000000E+00  0.167704190567E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.198224975291E+01  0.781517210403E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.392474149383E-01  0.658119122487E+01  0.000000000000E+00  0.000000000000E+00  0.820549504286E+02  0.436082828187E-01  0.899852934465E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
