                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.101804079946E+00  0.000000000000E+00  0.181783455813E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.110460136811E+01  0.280179091198E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435432591494E-01  0.840607737721E+00  0.000000000000E+00  0.000000000000E+00  0.143346312186E+03  0.483813990381E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.111788842123E+00  0.000000000000E+00  0.181323214819E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.113670252778E+01  0.293936858240E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435656294215E-01  0.101312855724E+01  0.000000000000E+00  0.000000000000E+00  0.139751903594E+03  0.484062548959E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.121773853752E+00  0.000000000000E+00  0.180820137786E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.117145849672E+01  0.309145753979E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435839866311E-01  0.120177772040E+01  0.000000000000E+00  0.000000000000E+00  0.136157405203E+03  0.484266517955E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.131746651935E+00  0.000000000000E+00  0.180274886135E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.120874677878E+01  0.325833661495E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435925738987E-01  0.140648725740E+01  0.000000000000E+00  0.000000000000E+00  0.132567303522E+03  0.484361932039E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.141694834659E+00  0.000000000000E+00  0.179688239036E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.124843651704E+01  0.344029220842E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435855230920E-01  0.162722315597E+01  0.000000000000E+00  0.000000000000E+00  0.128986063146E+03  0.484283589743E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.151606122287E+00  0.000000000000E+00  0.179061066868E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.129039155749E+01  0.363762601985E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435570027053E-01  0.186400325994E+01  0.000000000000E+00  0.000000000000E+00  0.125418104614E+03  0.483966696558E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.161468417757E+00  0.000000000000E+00  0.178394305773E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.133447322567E+01  0.385066272837E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.435013570591E-01  0.211691269537E+01  0.000000000000E+00  0.000000000000E+00  0.121867782740E+03  0.483348411600E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.171269864867E+00  0.000000000000E+00  0.177688934046E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.138054274013E+01  0.407975740481E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.434132308547E-01  0.238611671158E+01  0.000000000000E+00  0.000000000000E+00  0.118339365630E+03  0.482369231551E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.180998904071E+00  0.000000000000E+00  0.176945950824E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.142846322152E+01  0.432530249704E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.432876753040E-01  0.267187107906E+01  0.000000000000E+00  0.000000000000E+00  0.114837014599E+03  0.480974169877E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.190644325217E+00  0.000000000000E+00  0.176166357299E+02  0.000000000000E+00  0.999999998776E+00  0.100000000035E+01  0.147810128651E+01  0.458773429113E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.431202340302E-01  0.297453036370E+01  0.000000000000E+00  0.000000000000E+00  0.111364765184E+03  0.479113711280E-01  0.900000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
