                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.228180497275E+00  0.000000000000E+00  0.177449033503E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.448204682196E-01  0.413015832016E-01  0.625029862722E-01  0.000000000000E+00  0.000000000000E+00  0.978550209811E+02  0.458906506866E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.237255118147E+00  0.000000000000E+00  0.176485920313E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.444366938527E-01  0.408640953294E-01  0.650428522798E-01  0.000000000000E+00  0.000000000000E+00  0.945881574669E+02  0.454045551625E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.246188657508E+00  0.000000000000E+00  0.175490737747E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.440208427739E-01  0.403887809640E-01  0.675541243618E-01  0.000000000000E+00  0.000000000000E+00  0.913720832972E+02  0.448764317665E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.254973485515E+00  0.000000000000E+00  0.174464569157E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.435732840543E-01  0.398757239303E-01  0.700356397067E-01  0.000000000000E+00  0.000000000000E+00  0.882095452144E+02  0.443063747148E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.263602589093E+00  0.000000000000E+00  0.173408476404E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.430945481672E-01  0.393251585398E-01  0.724864494558E-01  0.000000000000E+00  0.000000000000E+00  0.851030679265E+02  0.436946461077E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.272069583266E+00  0.000000000000E+00  0.172323489245E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.425853183584E-01  0.387374607032E-01  0.749058243901E-01  0.000000000000E+00  0.000000000000E+00  0.820549500241E+02  0.430416664302E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.280368717634E+00  0.000000000000E+00  0.171210594819E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.420464209533E-01  0.381131383337E-01  0.772932590930E-01  0.000000000000E+00  0.000000000000E+00  0.790672616518E+02  0.423480044428E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.288494878140E+00  0.000000000000E+00  0.170070727196E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.414788147773E-01  0.374528212960E-01  0.796484744892E-01  0.000000000000E+00  0.000000000000E+00  0.761418438695E+02  0.416143668063E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.296443584393E+00  0.000000000000E+00  0.168904756922E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.408835798633E-01  0.367572511700E-01  0.819714186474E-01  0.000000000000E+00  0.000000000000E+00  0.732803096187E+02  0.408415878161E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.304210982790E+00  0.000000000000E+00  0.167713480509E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.402619056140E-01  0.360272711055E-01  0.842622657088E-01  0.000000000000E+00  0.000000000000E+00  0.704840461956E+02  0.400306196328E-01  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
